state,vehicle_type,subsidy_amount,additional_benefits,purchase_incentive,scrapping_bonus,policy_name,valid_until
Delhi,2-Wheeler,5000,"Road tax waiver, Registration fee waiver","Up to ₹5,000 for first 10,000 vehicles",7500,Delhi EV Policy 2020,2024-12-31
Delhi,4-Wheeler,150000,"Road tax waiver, Registration fee waiver","Up to ₹1.5 lakh for first 30,000 vehicles",0,Delhi EV Policy 2020,2024-12-31
Maharashtra,2-Wheeler,10000,"Road tax exemption, Registration fee waiver","₹10,000 for first 1 lakh vehicles",7000,Maharashtra EV Policy 2021,2025-12-31
Maharashtra,4-Wheeler,100000,"Road tax exemption, Registration fee waiver",Up to ₹1 lakh (price-based),25000,Maharashtra EV Policy 2021,2025-12-31
Gujarat,2-Wheeler,10000,"Registration fee waiver, 100% road tax exemption","₹10,000 per vehicle",5000,Gujarat EV Policy 2021,2025-06-30
Gujarat,4-Wheeler,150000,"Registration fee waiver, 100% road tax exemption",Up to ₹1.5 lakh,20000,Gujarat EV Policy 2021,2025-06-30
Karnataka,2-Wheeler,10000,"Road tax exemption, Registration fee waiver","₹10,000 for first 20,000 vehicles",0,Karnataka EV Policy 2017,2025-12-31
Karnataka,4-Wheeler,0,"Road tax exemption, Registration fee waiver",Manufacturing incentives only,0,Karnataka EV Policy 2017,2025-12-31
Tamil Nadu,2-Wheeler,5000,"Registration fee waiver, Road tax exemption","₹5,000 per vehicle",0,Tamil Nadu EV Policy 2019,2024-12-31
Tamil Nadu,4-Wheeler,100000,"Registration fee waiver, Road tax exemption","Up to ₹1 lakh for first 50,000 vehicles",0,Tamil Nadu EV Policy 2019,2024-12-31
Telangana,2-Wheeler,0,Road tax exemption,Focus on manufacturing incentives,0,Telangana EV Policy 2020,2030-12-31
Telangana,4-Wheeler,0,Road tax exemption,Focus on manufacturing incentives,0,Telangana EV Policy 2020,2030-12-31
Rajasthan,2-Wheeler,10000,Registration fee waiver,"₹10,000 per vehicle",0,Rajasthan EV Policy 2019,2024-12-31
Rajasthan,4-Wheeler,50000,Registration fee waiver,"₹50,000 per vehicle",0,Rajasthan EV Policy 2019,2024-12-31
Uttar Pradesh,2-Wheeler,5000,"Road tax exemption, Registration fee waiver","₹5,000 per vehicle",0,UP EV Policy 2022,2025-12-31
Uttar Pradesh,4-Wheeler,100000,"Road tax exemption, Registration fee waiver",Up to ₹1 lakh,0,UP EV Policy 2022,2025-12-31
West Bengal,2-Wheeler,0,Road tax exemption,Manufacturing & infrastructure focus,0,West Bengal EV Policy 2021,2025-12-31
West Bengal,4-Wheeler,0,Road tax exemption,Manufacturing & infrastructure focus,0,West Bengal EV Policy 2021,2025-12-31
Kerala,2-Wheeler,10000,Motor vehicle tax exemption,"₹10,000 per vehicle",0,Kerala EV Policy 2022,2025-12-31
Kerala,4-Wheeler,50000,Motor vehicle tax exemption,"₹50,000 per vehicle",0,Kerala EV Policy 2022,2025-12-31
Madhya Pradesh,2-Wheeler,0,Road tax exemption,Limited state incentives,0,MP EV Policy 2019,2024-12-31
Madhya Pradesh,4-Wheeler,0,Road tax exemption,Limited state incentives,0,MP EV Policy 2019,2024-12-31
